Название региона;Общая площадь дома, кв.м;Наибольшее количество этажей;Год ввода в эксплуатацию;Последнее изменение анкеты;Дата начала  обслуживания дома;Количество этажей:наибольшее, ед.;Количество этажей:наименьшее, ед.;Количество помещений, в том числе:;Количество помещений, в том числе:жилых, ед.;Количество помещений, в том числе:нежилых, ед.;Общая площадь дома, в том числе, кв.м:;Общая площадь дома, в том числе, кв.м:общая площадь жилых помещений, кв.м;Общая площадь дома, в том числе, кв.м:общая площадь нежилых помещений, кв.м;Общая площадь дома, в том числе, кв.м:общая площадь помещений, входящих в состав общего имущества, кв.м;Общие сведения о земельном участке, на котором расположен многоквартирный дом:площадь земельного участка, входящего в состав общего имущества в многоквартирном доме, кв.м;Общие сведения о земельном участке, на котором расположен многоквартирный дом:площадь парковки в границах земельного участка, кв.м;Элементы благоустройства:детская площадка;Элементы благоустройства:спортивная площадка;Элементы благоустройства:другое;Год постройки;Год ввода дома в эксплуатацию;Серия, тип постройки здания;Тип дома;Способ формирования фонда капитального ремонта;Дом признан аварийным;Количество подъездов, ед.;Количество лифтов, ед.;Класс энергетической эффективности;Дополнительная информация;Кадастровый номер;Анкета дома;Ссылки
Власиха (ЗАТО);8 476.00;9;1988;18.12.2015 в 11:49;01.07.2015;9;9;105;Не заполнено;Не заполнено;8 476.00;5 814.40;2 661.60;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1988;1988;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;3;3;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Солнечная, д. 5, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063993/
Власиха (ЗАТО);8 416.00;9;1989;18.12.2015 в 11:50;01.07.2015;9;9;105;Не заполнено;Не заполнено;8 416.00;5 811.60;2 604.40;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1989;1989;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;3;3;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Солнечная, д. 6, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063994/
Власиха (ЗАТО);7 516.00;9;1989;18.12.2015 в 11:51;01.07.2015;9;9;105;Не заполнено;Не заполнено;7 516.00;5 828.50;1 687.50;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1989;1989;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;3;3;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Солнечная, д. 7, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063995/
Власиха (ЗАТО);7 678.00;9;1990;18.12.2015 в 11:52;01.07.2015;9;9;105;Не заполнено;Не заполнено;7 678.00;5 838.56;1 839.44;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1990;1990;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;3;3;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Солнечная, д. 8, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063996/
Власиха (ЗАТО);7 401.00;9;1990;18.12.2015 в 11:52;01.07.2015;9;9;105;Не заполнено;Не заполнено;7 401.00;5 827.60;1 573.40;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1990;1990;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;3;3;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Солнечная, д. 9, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063997/
Власиха (ЗАТО);2 996.60;9;1991;18.12.2015 в 12:09;01.07.2015;9;9;35;Не заполнено;Не заполнено;2 996.60;2 102.00;894.60;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1991;1991;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;1;1;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Солнечная, д. 10, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063998/
Власиха (ЗАТО);2 615.00;9;1991;18.12.2015 в 12:10;01.07.2015;9;9;35;Не заполнено;Не заполнено;2 615.00;2 109.70;505.30;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1991;1991;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;1;1;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Солнечная, д. 11, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063999/
Власиха (ЗАТО);7 322.00;9;1993;18.12.2015 в 12:14;01.07.2015;9;9;107;Не заполнено;Не заполнено;7 322.00;5 839.50;1 482.50;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1993;1993;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;3;3;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Солнечная, д. 12, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9064000/
Власиха (ЗАТО);8 895.00;10;1996;18.12.2015 в 12:14;01.07.2015;10;10;119;Не заполнено;Не заполнено;8 895.00;7 119.70;1 175.30;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1996;1996;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;3;Не заполнено;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Солнечная, д. 13, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9064001/
Власиха (ЗАТО);95.00;1;1985;09.06.2016 в 16:27;03.08.2015;1;1;1;1;0;95.00;39.00;0.00;0.00;295.00;0.00;Не имеется;Не имеется;-;1985;1985;деревянные;Жилой дом блокированной застройки;Не определен;Нет;1;0;Не присвоен;-;отсутствует тех.паспорт;обл. Московская, п. Власиха, ул. Сосновая, д. 1;https://www.reformagkh.ru/myhouse/profile/view/8923841/
