paste.UND2...9...ID..sep.......;X|Y|ID
"""Россия, Москва, Таганско-Краснопресненская линия, метро Планерная"",231000";37.605939|55.764455|64855
"""Россия, Москва, Калининская линия, метро Площадь Ильича"",150040";37.633482|55.781757|40548
"""Россия, Москва, Арбатско-Покровская линия, метро Площадь Революции"",156096";37.58128|55.760818|18273
"""Россия, Москва, Таганско-Краснопресненская линия, метро Полежаевская"",172319";37.743813|55.633582|193512
"""Россия, Москва, Серпуховско-Тимирязевская линия, метро Полянка"",10033";37.482852|55.663146|75962
"""Россия, Москва, Серпуховско-Тимирязевская линия, метро Пражская"",166354";37.636123|55.792513|35695
"""Россия, Москва, Сокольническая линия, метро Преображенская площадь"",170084";37.548375|55.738784|11857
"""Россия, Москва, Таганско-Краснопресненская линия, метро Пролетарская"",41057";37.745205|55.612329|92972
"""Россия, Москва, Сокольническая линия, метро Проспект Вернадского"",38872";37.735117|55.814264|112951
"""Россия, Москва, Калужско-Рижская линия, метро Проспект Мира"",180738";37.745528|55.804025|130762
"""Россия, Москва, Калужско-Рижская линия, метро Проспект Мира"",40548";37.598232|55.653177|69941
"""Россия, Москва, Калужско-Рижская линия, метро Профсоюзная"",209241";37.621884|55.767939|53425
"""Россия, Москва, Таганско-Краснопресненская линия, метро Пушкинская"",150473";30.26196|59.879638|182094
"""Россия, Москва, Арбатско-Покровская линия, метро Пятницкое шоссе"",195268";30.375588|59.829328|171440
"""Россия, Москва, Замоскворецкая линия, метро Речной вокзал"",77387";37.637775|55.843965|208718
"""Россия, Москва, Калужско-Рижская линия, метро Рижская"",35695";37.542671|55.748843|172080
"""Россия, Москва, Люблинско-Дмитровская линия, метро Римская"",159954";37.649256|55.655412|193433
"""Россия, Москва, Сокольническая линия, метро Румянцево"",70185";30.355178|59.931427|222315
"""Россия, Москва, Таганско-Краснопресненская линия, метро Рязанский проспект"",25292";30.423774|59.896644|116324
"""Россия, Москва, Серпуховско-Тимирязевская линия, метро Савёловская"",211088";37.441395|55.633028|70185
"""Россия, Москва, Сокольническая линия, метро Саларьево"",127955";37.514949|55.74597|118290
"""Россия, Москва, Калужско-Рижская линия, метро Свиблово"",75036";30.31753|59.906179|121031
"""Россия, Москва, Серпуховско-Тимирязевская линия, метро Севастопольская"",227603";37.534532|55.69244|66537
"""Россия, Москва, Арбатско-Покровская линия, метро Семёновская"",91451";37.606074|55.640538|111351
"""Россия, Москва, Серпуховско-Тимирязевская линия, метро Серпуховская"",238035";82.938117|55.008805|75765
"""Россия, Москва, Арбатско-Покровская линия, метро Славянский бульвар"",119442";30.299564|59.907149|132097
"""Россия, Москва, Арбатско-Покровская линия, метро Смоленская"",95440";37.653613|55.739199|40700
"""Россия, Москва, Арбатско-Покровская линия, метро Смоленская"",107365";43.994326|56.313863|152216
"""Россия, Москва, Замоскворецкая линия, метро Сокол"",180753";30.321483|59.848873|104903
"""Россия, Москва, Сокольническая линия, метро Сокольники"",95700";30.344291|59.984787|175773
"""Россия, Москва, Таганско-Краснопресненская линия, метро Спартак"",91198";37.609308|55.752075|168611
"""Россия, Москва, Сокольническая линия, метро Спортивная"",152622";30.318716|59.879164|131764
"""Россия, Москва, Люблинско-Дмитровская линия, метро Сретенский бульвар"",196395";37.575594|55.83664|126409
"""Россия, Москва, Стахановская улица"",178803";50.269651|53.21125|50349
"""Россия, Москва, Арбатско-Покровская линия, метро Строгино"",130322";37.629295|55.74185|226782
"""Россия, Москва, Филёвская линия, метро Студенческая"",11857";37.555328|55.601188|140460
"""Россия, Москва, Калужско-Рижская линия, метро Сухаревская"",40200";30.466803|59.919874|75672
"""Россия, Москва, Таганско-Краснопресненская линия, метро Сходненская"",43711";37.612766|55.731257|33463
"""Россия, Москва, Таганско-Краснопресненская линия, метро Таганская"",40700";37.679035|55.772406|34116
"""Россия, Москва, Таганско-Краснопресненская линия, метро Таганская"",169812";37.719423|55.783195|91451
"""Россия, Москва, Замоскворецкая линия, метро Тверская"",64855";37.610745|55.672854|56778
"""Россия, Москва, Замоскворецкая линия, метро Театральная"",139837";37.362154|55.845734|31911
"""Россия, Москва, Таганско-Краснопресненская линия, метро Текстильщики"",11976";30.470315|59.865122|126809
"""Россия, Москва, Калужско-Рижская линия, метро Тёплый Стан"",185309";37.497863|55.743801|21137
"""Россия, Москва, Замоскворецкая линия, метро Технопарк"",212119";30.300875|59.98548|201085
"""Россия, Москва, Серпуховско-Тимирязевская линия, метро Тимирязевская"",196902";37.687102|55.7249|215167
"""Россия, Москва, Калининская линия, метро Третьяковская"",14916";37.598384|55.651552|227603
"""Россия, Москва, Калининская линия, метро Третьяковская"",85502";37.864052|55.745113|234805
"""Россия, Москва, Сокольническая линия, метро Тропарёво"",147919";37.638683|55.764794|172377
"""Россия, Москва, Люблинско-Дмитровская линия, метро Трубная"",53425";37.577346|55.569667|112692
"""Россия, Москва, Серпуховско-Тимирязевская линия, метро Тульская"",147910";37.648888|55.768795|127593
"""Россия, Москва, Калужско-Рижская линия, метро Тургеневская"",75571";37.654879|55.775575|233425
"""Россия, Москва, Таганско-Краснопресненская линия, метро Тушинская"",182637";37.636554|55.765817|75571
"""Россия, Москва, Таганско-Краснопресненская линия, метро Улица 1905 года"",139113";43.902069|56.257363|190787
"""Россия, Москва, Серпуховско-Тимирязевская линия, метро Улица Академика Янгеля"",53049";37.641135|55.821047|104893
"""Россия, Москва, Бутовская линия, метро Улица Горчакова"",157613";37.55487|55.548141|174411
"""Россия, Москва, улица Дмитриевского"",94218";30.327025|59.935579|131581
"""Россия, Москва, Бутовская линия, метро Улица Скобелевская"",174411";30.268428|59.851774|56643
"""Россия, Москва, Бутовская линия, метро Улица Старокачаловская"",144291";37.553442|55.601833|45114
"""Россия, Москва, Сокольническая линия, метро Университет"",66537";30.348172|59.927464|137259
